player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
Phil Dawson,422,K,12,SF,20.4,41,57.4,27.2,3,87.8,36,687,19.1,4,0,37,3.88
Sebastian Janikowski,595,K,16,OAK,53.2,88,67.1,23.5,0,51.1,45,896,19.9,43,0,76,3.97
Josh Brown,1520,K,5,NYG,50.1,24,65.5,26.1,0,33.3,8,146,18.3,15,0,23,3.97
Andy Lee,1906,P,1,CAR,60.0,1,71.0,27.0,0,100.0,1,18,18.0,0,0,1,4.53
Mike Nugent,2264,K,13,CIN,64.5,63,65.8,24.3,1,54.0,34,780,22.9,28,0,60,3.93
Robbie Gould,2607,K,10,NYG,55.4,43,66.0,26.6,1,51.2,22,540,24.5,19,0,42,4.16
Nick Novak,2726,K,16,HST,47.3,74,62.3,27.1,4,63.5,47,1102,23.4,23,0,65,3.91
Stephen Gostkowski,3063,K,16,NE,65.1,93,68.1,23.4,0,43.0,40,771,19.3,52,0,90,4.11
Sam Koch,3148,P,1,BLT,60.0,1,65.0,34.0,0,100.0,1,19,19.0,0,0,1,4.58
Matt Prater,3471,K,2,DET,60.0,2,59.0,28.0,0,50.0,1,32,32.0,1,0,2,4.16
Jon Ryan,3493,P,1,SEA,60.0,1,65.0,27.0,0,100.0,1,12,12.0,0,0,1,4.71
Nick Folk,3794,K,16,NYJ,68.1,70,67.0,25.3,1,41.4,29,665,22.9,39,0,65,3.98
Mason Crosby,3809,K,16,GB,59.6,89,67.1,26.9,2,47.2,42,1080,25.7,46,0,84,3.93
Brett Kern,4580,P,1,TEN,60.0,1,59.0,21.0,0,100.0,1,10,10.0,0,0,1,4.13
Stephen Hauschka,4655,K,16,SEA,69.9,86,68.3,25.1,1,37.2,32,642,20.1,54,0,77,3.91
Dan Carpenter,4697,K,13,BUF,33.5,69,62.9,26.7,3,58.0,40,814,20.4,28,0,61,3.95
Connor Barth,4777,K,16,CHI,55.9,64,64.7,24.8,3,57.8,37,768,20.8,26,0,57,3.83
Kevin Huber,5066,P,1,CIN,60.0,1,64.0,32.0,0,100.0,1,16,16.0,0,0,1,4.17
Pat McAfee,5146,P,16,IND,61.1,89,68.0,24.1,1,43.8,39,825,21.2,49,0,87,3.96
Ryan Succop,5180,K,16,TEN,62.1,82,68.2,26.2,3,26.8,22,452,20.5,58,0,73,4.02
Britton Colquitt,5192,P,2,CLV,60.0,2,62.5,31.5,0,100.0,2,28,14.0,0,0,2,4.35
Graham Gano,5443,K,16,CAR,80.0,86,69.8,24.1,1,25.6,22,399,18.1,63,0,78,4.2
Matt Bosher,6344,P,15,ATL,74.4,105,69.0,24.3,0,37.1,39,905,23.2,65,0,102,3.96
Dan Bailey,6796,K,16,DAL,73.6,91,67.9,24.3,1,36.3,33,746,22.6,57,0,88,4.13
Kai Forbath,6860,K,7,MIN,54.9,38,65.7,26.0,2,47.4,18,431,23.9,19,0,33,3.83
Bryan Anger,7072,P,2,TB,60.0,2,61.0,39.0,0,50.0,1,15,15.0,0,0,2,4.61
Randy Bullock,7154,K,5,CIN,63.9,23,66.7,25.6,0,39.1,9,194,21.6,14,0,20,3.88
Greg Zuerlein,7163,K,16,LA,67.4,59,68.5,23.4,1,39.0,23,430,18.7,36,0,52,3.99
Blair Walsh,7167,K,9,MIN,48.0,41,66.1,26.6,1,51.2,21,549,26.1,19,0,40,4.15
