year,player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
2015,Phil Dawson,422,K,1,SF,60,1,48,48,47,48,0,0,100,1,1,1,0,0,0,0,1,4.38
2015,Shane Lechler,673,P,16,HST,58.5,95,4470,47.05,38.33,64,37,0,62.1,59,629,10.7,10,2,8,15,95,4.38
2015,Mike Scifres,1458,P,16,SD,43.9,72,3261,45.29,38.42,68,17,0,59.7,43,455,10.6,2,4,8,15,72,4.22
2015,Andy Lee,1906,P,16,CLV,71.6,70,3269,46.7,40.11,67,32,0,52.9,37,381,10.3,4,7,7,15,70,4.44
2015,Donnie Jones,1939,P,16,PHI,63.8,86,4039,46.97,42.6,64,39,0,48.8,42,215,5.1,8,1,12,23,86,4.4
2015,Dustin Colquitt,2316,P,16,KC,76.5,75,3333,44.44,40.84,62,42,0,34.7,26,170,6.5,5,9,14,21,75,4.38
2015,Nick Novak,2726,K,1,HST,60,1,36,36,16,36,1,0,0,0,0,,1,0,0,0,1,4.27
2015,Sam Koch,3148,P,16,BLT,86.9,74,3446,46.57,43.11,67,35,0,45.9,34,176,5.2,4,11,11,13,74,4.35
2015,Jon Ryan,3493,P,16,SEA,71.9,68,3079,45.28,37.6,69,35,0,42.6,29,382,13.2,7,4,8,20,68,4.4
2015,Steve Weatherford,3552,P,1,NYJ,53,4,161,40.25,30.75,50,0,0,75,3,38,12.7,0,0,1,0,4,4.1
2015,Brandon Fields,3841,P,2,NO,54.4,10,412,41.2,35.1,57,6,0,20,2,21,10.5,2,3,2,1,10,3.99
2015,Brett Kern,4580,P,16,TEN,87.6,88,4175,47.44,40.34,61,37,0,53.4,47,605,12.9,1,10,6,22,88,4.45
2015,Kevin Huber,5066,P,16,CIN,60.2,68,3065,45.07,40.32,67,29,0,45.6,31,203,6.5,6,4,11,15,68,4.37
